pattern,weight,number of words
NN NN,306,2
NN,101,1
NN NN NN,50,3
NN JJ,22,2
NN NN NN NN,10,4
NN VBI NN,9,3
FW NN NN,6,3
NN NN JJ,6,3
NN NNP,5,2
FW FW,5,2
NNP,5,1
NN NN NN FW,4,4
FW FW FW NN,4,4
NN FW NN,4,3
FW FW FW,3,3
FW FW NN,3,3
VBT NN,3,2
NN VBT,3,2
FW NN,3,2
NN NN NN JJ,2,4
FW FW FW FW,2,4
NN JJ NN,2,3
NN VBT NN,2,3
NN NNP NNP,2,3
JJ NN,2,2
NNP FW,2,2
NN NN NNP NN CDP NN OP CDP CP,1,9
NN NNP NNP FW FW FW FW FW NNP,1,9
NN NN NN NN OP NNP CP,1,7
NN NN CDP CC NN NNP NNP,1,7
FW FW NN NN OP NNP CP,1,7
FW FW FW OP NN CP,1,6
FW NN NN OP NNP CP,1,6
FW NN NN CC NN NN,1,6
NN NN NN NN VBT NN,1,6
NN NN NN NN NN,1,5
NN NN FW NN NN,1,5
NN VBT VBI JJ NN,1,5
NN NN CC FW FW,1,5
NN FW NN JJ,1,4
NN NN NN NNP,1,4
NNP NNP NNP NNP,1,4
NN NN CC NN,1,4
NN NN JJ NN,1,4
NN NN IN NN,1,4
NN NN JJ FW,1,4
NN IN NN NN,1,4
NNP FW NN NNP,1,4
VBT VBI JJ NN,1,4
NN OP NNP CP,1,4
NN VBT VBT,1,3
NN NNP NN,1,3
FW NNP NN,1,3
NN NN VBI,1,3
FW FW NNP,1,3
NN SC VBT,1,3
NN NN FW,1,3
VBI NN NN,1,3
FW NN NNP,1,3
NN FW,1,2
NNP NNP,1,2
JJ,1,1